I STILL CANT FUCKING CALL ANYONE SPRINTTT!!!!!!!!!!! @sprintcare @sprint,1
@sprintcare buy Harry.R a beer! He made outgoing calls on my cell phone great again. #chathero #customerserviceFTW,3
I am so proud to work with this amazing team. I learn Every. Day. #SprintFam,3
"When you’re trying to work but none of your posts will load because you have @sprint 🙃,1
RT @robjhump: When yo girl see you in the club but u couldn’t tell her because you @sprint https://t.co/JClNFjSzHj,1
@sprintcare Y’all better have this bullshit fixed by tomorrow morning swear to god,1
@sprint SPRINT SUCKS!!! I hope T-Mobile takes it over like I heard it was supposed to do. Sprint is a money hungry… https://t.co/LdTyCEGviU,2
@sprintcare A DM?! For what?! Y’all know damn well y’all towers in the Midwest are down! Haven’t been able to make… https://t.co/nqJMS0U41r,1
@sprint SPRINT SUCKS!!!!!!! Switch to another company,2
@thebookofcalvin @sprintcare 🗣BIG FACTS,1
RT @AirspanNetworks: Good to see @Sprint using @AirspanNetworks #AirHarmony 2.5GHz mini-macros at @RavinaFestival. @SprintCTO. https://t.co…,1
"@sprintcare - I missed out on a few grand today because the service was down, but Sprint is the longest relationshi… https://t.co/FdcLNCajfx",1
@sprintcare @rahulptel Wth?,1
"@ELBTravels @sprint @MichelCombes Whew, they went deep on spectrum!!!",1
"@_Kieeeeeeeee @sprint Outage from New York to Chicago only voice services, data and text should still work, I work there lol",1
@TP_Visions Me! With their terrible ass service. @sprint,1
@sprint ummm my bill better be free this month cus wtf y’all tweakin,1
@juaniko @sprint You haven’t seen anything yet. Lol the last time I called I was on hold for two hours and then the… https://t.co/skj6p0dD4o,1
Might switch to @TMobile I hope they will take me back. @sprint is acting up.,2
@ATT I’m about to leave @sprint after 20 years. Do you all have any specials for Chicagoans?,1
So @sprintcare it would’ve been nice to know about the outage! Especially today #SprintSucks I’m still pissed that… https://t.co/NQBdaWrj5X,1
RT @oldskoolflipfon: Full house at the NEW @sprint  by @iMobileUSA store!  @iMobileSouthin1 is off to a great start with two new out the do…,1
@Thumper7704 @sprint The data and hotspot are horrible don't switch to sprint,1
@sprint It's definitely time for me to switch companies because it's always something with Sprint. I wasn't able to… https://t.co/WOEwQZz4cb,1
@sprint tweakin,2
@sprintcare Been without service for hours.  This is our only phone. Missed a call from my 17 year old son that he… https://t.co/KWrj6fmW70,2
@sprintcare @danieleglaze! I got em! Tell them what you need! 😂,3
"RT @MichelCombes: Of course we haven’t slowed our investment in the #SprintNetwork, either. With #LTEAdvanced features nationwide, @Sprint…",1
RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,2
@sprint you call my entire family being without cell service for 6+hours and still no idea when we get it back “int… https://t.co/1lG9jy7uCC,1
@sprint I’m not paying my bill for the rest of the year after this bs y’all pulled today.,1
"RT @mmcmahon09: Awesome work, Daniel!!  Nothing but #Treats today for @sprint customers! https://t.co/0RQps5thNf",1
@sprintcare @spiceadams An you share that info as mistvif not all Sprint costumers are experiencing the same issue?!,1
Any update on @sprint outage?  There has not been a single communication to customers. #sprintoutage,1
@sprint is gonna get me dumped by my gf,1
RT @msashleyfbanks: Sooooo How is the WHOLE Midwest service out?? @sprintcare,1
RT @IBabyHair: An abusive relationship. https://t.co/tn6jVSehYE,2
@sprintcare @spiceadams Can you share that info as most if not all Sprint customers are experiencing the same issue?!,1
@myers851 @sprint @verizon I have sprint to. Welcome to the suck,1
@sprintcare This is outrageous will we be getting a free month of billing. My phone hasn't worked for 8 hours,3
@sprintcare Still out in Wisconsin,2
@sprint how long until Iowa outage resolved?,2
FR @sprintcare @sprint I’ve been having issues all month. I’m tired of talking to y’all at this point,1
@tmobile said whazzz up @sprint? #traveldivaapproved #traveldiva #pickupthephone #ringringring #canyouhearmenow… https://t.co/amfKS1UKn9,1
@sprintcare Connection would be a great start lol,3
RT @lisavaldez24: @sprintcare You should be notifying your customers by text or voicemail that you are aware of the outage and an estimated…,1
"RT @MichelCombes: Follow me, @Sprint’s CEO, to see how @Sprint’s #BrighterFutureForAll is more than just a hashtag - it’s our mantra! https…",1
@sprintcare Yes a credit is in order and not .99. Anything could have happened during the time my phone was unusabl… https://t.co/hv0WreDczU,1
