Embarcadero at Sansome,Embarcadero at Bryant,600
Broadway St at Battery St,San Francisco Caltrain (Townsend at 4th),889
San Francisco Caltrain (Townsend at 4th),Embarcadero at Sansome,926
Broadway St at Battery St,2nd at Townsend,776
Mountain View Caltrain Station,Evelyn Park and Ride,355
Steuart at Market,2nd at Townsend,481
Paseo de San Antonio,SJSU - San Salvador at 9th,258
Embarcadero at Vallejo,San Francisco Caltrain (Townsend at 4th),1212
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain (Townsend at 4th),497
Palo Alto Caltrain Station,Cowper at University,246
Yerba Buena Center of the Arts (3rd @ Howard),Post at Kearny,212
Palo Alto Caltrain Station,Cowper at University,254
Davis at Jackson,Howard at 2nd,508
Steuart at Market,San Francisco Caltrain (Townsend at 4th),877
Steuart at Market,San Francisco Caltrain (Townsend at 4th),1088
Spear at Folsom,San Francisco Caltrain (Townsend at 4th),590
2nd at Folsom,Steuart at Market,437
Market at 10th,San Francisco Caltrain 2 (330 Townsend),545
San Antonio Caltrain Station,Rengstorff Avenue / California Street,426
2nd at Townsend,Davis at Jackson,614
South Van Ness at Market,San Francisco Caltrain 2 (330 Townsend),742
Steuart at Market,Post at Kearny,439
2nd at Folsom,San Francisco Caltrain (Townsend at 4th),309
2nd at Townsend,Howard at 2nd,361
Steuart at Market,San Francisco Caltrain (Townsend at 4th),893
2nd at Folsom,Harry Bridges Plaza (Ferry Building),330
Spear at Folsom,Embarcadero at Vallejo,373
Davis at Jackson,Civic Center BART (7th at Market),866
Townsend at 7th,Civic Center BART (7th at Market),359
Commercial at Montgomery,Embarcadero at Bryant,499
2nd at Folsom,Steuart at Market,379
Market at Sansome,San Francisco Caltrain 2 (330 Townsend),1082
San Francisco Caltrain 2 (330 Townsend),San Francisco City Hall,695
San Francisco Caltrain (Townsend at 4th),Embarcadero at Sansome,696
Harry Bridges Plaza (Ferry Building),2nd at Townsend,624
Commercial at Montgomery,Mechanics Plaza (Market at Battery),277
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain 2 (330 Townsend),525
2nd at Folsom,Harry Bridges Plaza (Ferry Building),361
Embarcadero at Folsom,San Francisco Caltrain (Townsend at 4th),572
Market at 10th,Washington at Kearny,728
Embarcadero at Sansome,Embarcadero at Folsom,398
Townsend at 7th,San Francisco Caltrain 2 (330 Townsend),262
Powell Street BART,Townsend at 7th,710
5th at Howard,2nd at Folsom,276
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Bryant,500
Castro Street and El Camino Real,Mountain View Caltrain Station,350
2nd at South Park,Market at Sansome,343
Townsend at 7th,Temporary Transbay Terminal (Howard at Beale),1075
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain (Townsend at 4th),725
Temporary Transbay Terminal (Howard at Beale),Embarcadero at Bryant,217
Davis at Jackson,Embarcadero at Sansome,281
Yerba Buena Center of the Arts (3rd @ Howard),Steuart at Market,411
Market at 4th,San Francisco Caltrain (Townsend at 4th),433
Market at 10th,Spear at Folsom,782
Davis at Jackson,Howard at 2nd,598
Yerba Buena Center of the Arts (3rd @ Howard),South Van Ness at Market,691
Castro Street and El Camino Real,Mountain View Caltrain Station,286
Townsend at 7th,San Francisco Caltrain 2 (330 Townsend),227
Beale at Market,Golden Gate at Polk,700
Powell Street BART,San Francisco Caltrain (Townsend at 4th),636
Temporary Transbay Terminal (Howard at Beale),Townsend at 7th,681
Steuart at Market,Howard at 2nd,293
Civic Center BART (7th at Market),Market at Sansome,405
5th at Howard,Powell at Post (Union Square),442
Civic Center BART (7th at Market),San Francisco Caltrain 2 (330 Townsend),613
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain (Townsend at 4th),847
Clay at Battery,2nd at Townsend,893
Howard at 2nd,San Francisco Caltrain (Townsend at 4th),646
Davis at Jackson,San Francisco Caltrain (Townsend at 4th),996
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain 2 (330 Townsend),526
Steuart at Market,San Francisco Caltrain (Townsend at 4th),652
Golden Gate at Polk,Temporary Transbay Terminal (Howard at Beale),688
South Van Ness at Market,Civic Center BART (7th at Market),229
Davis at Jackson,Temporary Transbay Terminal (Howard at Beale),221
Townsend at 7th,2nd at Folsom,559
Washington at Kearny,San Francisco Caltrain (Townsend at 4th),737
Davis at Jackson,San Francisco Caltrain (Townsend at 4th),642
Howard at 2nd,Harry Bridges Plaza (Ferry Building),353
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Folsom,757
Embarcadero at Sansome,Steuart at Market,268
Santa Clara at Almaden,San Jose Diridon Caltrain Station,250
Beale at Market,San Francisco Caltrain (Townsend at 4th),631
Howard at 2nd,Steuart at Market,312
Market at 4th,Embarcadero at Sansome,678
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain (Townsend at 4th),1034
2nd at Folsom,San Francisco Caltrain 2 (330 Townsend),590
